ID,Title,Date,Post Type,Pemenang Toto,Juara 2,Juara 3,Starter 1,Starter 2,Starter 3,Starter 4
,08 Juli 2023,2023-7-8 21:18:06,tootohk,604301,228003,821366,768217,661811,676755,827696
,09 Juli 2023,2023-7-9 21:18:06,tootohk,308576,886511,731526,752449,437936,337136,389491
,10 Juli 2023,2023-7-10 21:18:06,tootohk,024532,029685,317888,362504,548713,792422,105283
,11 Juli 2023,2023-7-11 21:18:06,tootohk,341512,086975,565848,089196,684427,290397,525808
,12 Juli 2023,2023-7-12 21:18:06,tootohk,918662,779483,357018,390951,236647,488789,572666
,13 Juli 2023,2023-7-13 21:18:06,tootohk,372649,278754,783777,293613,685754,550359,675818
,14 Juli 2023,2023-7-14 21:18:06,tootohk,200539,716506,664996,979693,794394,700490,728228
,15 Juli 2023,2023-7-15 21:18:06,tootohk,077305,211103,872978,983658,999638,738831,000923
,16 Juli 2023,2023-7-16 21:18:06,tootohk,577432,531916,740067,078029,700367,326473,742547
,17 Juli 2023,2023-7-17 21:18:06,tootohk,079398,244261,899104,670205,343755,924007,683065
,18 Juli 2023,2023-7-18 21:18:06,tootohk,776348,186402,519134,272451,769175,367654,496421
,19 Juli 2023,2023-7-19 21:18:06,tootohk,001332,689857,030962,988280,289510,232717,052417
,20 Juli 2023,2023-7-20 21:18:06,tootohk,493878,869964,834032,076738,386976,138269,891850
,21 Juli 2023,2023-7-21 21:18:06,tootohk,161294,716228,775573,241034,253845,093227,117780
,22 Juli 2023,2023-7-22 21:18:06,tootohk,305076,324487,073770,801504,915943,312390,575198
,23 Juli 2023,2023-7-23 21:18:06,tootohk,894679,255852,342487,538393,280823,801440,444244
,24 Juli 2023,2023-7-24 21:18:06,tootohk,374717,456927,524188,060147,234485,683974,995365
,25 Juli 2023,2023-7-25 21:18:06,tootohk,729213,272351,208183,316159,544426,376049,105057
,26 Juli 2023,2023-7-26 21:18:06,tootohk,741788,844668,574890,052230,446021,213634,839906
,27 Juli 2023,2023-7-27 21:18:06,tootohk,535931,395032,711196,815602,061154,706747,886309
