ID,Title,Date,Post Type,Capjiki 11,Capjiki 13,Capjiki 15,Capjiki 17,Capjiki 19,Capjiki 21
,01 Mei 2023,2023-5-1 14:14:14,capjiki,enam hitam,tiga hitam,dua hitam,dua merah,empat merah,satu hitam
,02 Mei 2023,2023-5-2 14:14:14,capjiki,enam hitam,dua merah,lima merah,tiga hitam,lima hitam,lima hitam
,03 Mei 2023,2023-5-3 14:14:14,capjiki,enam merah,enam merah,dua hitam,satu merah,lima hitam,enam hitam
,04 Mei 2023,2023-5-4 14:14:14,capjiki,satu hitam,dua merah,lima hitam,dua merah,dua hitam,enam merah
,05 Mei 2023,2023-5-5 14:14:14,capjiki,empat hitam,tiga hitam,satu hitam,dua merah,empat merah,tiga hitam
,06 Mei 2023,2023-5-6 14:14:14,capjiki,lima hitam,satu hitam,lima hitam,satu hitam,satu merah,lima hitam
,07 Mei 2023,2023-5-7 14:14:14,capjiki,dua merah,satu merah,satu hitam,tiga merah,empat merah,lima hitam
,08 Mei 2023,2023-5-8 14:14:14,capjiki,lima hitam,dua merah,dua merah,dua merah,satu hitam,tiga hitam
,09 Mei 2023,2023-5-9 14:14:14,capjiki,tiga hitam,lima merah,satu merah,empat hitam,tiga hitam,dua hitam
,10 Mei 2023,2023-5-10 14:14:14,capjiki,tiga hitam,tiga merah,tiga merah,empat merah,satu hitam,tiga hitam
,11 Mei 2023,2023-5-11 14:14:14,capjiki,tiga hitam,dua merah,satu merah,dua hitam,empat hitam,enam merah
,12 Mei 2023,2023-5-12 14:14:14,capjiki,empat merah,empat merah,enam merah,satu hitam,tiga merah,tiga hitam
,13 Mei 2023,2023-5-13 14:14:14,capjiki,enam merah,empat hitam,dua merah,satu hitam,dua merah,satu merah
,14 Mei 2023,2023-5-14 14:14:14,capjiki,dua hitam,lima hitam,satu merah,enam merah,dua hitam,satu hitam
,15 Mei 2023,2023-5-15 14:14:14,capjiki,enam hitam,enam merah,empat hitam,lima hitam,lima merah,dua hitam
,16 Mei 2023,2023-5-16 14:14:14,capjiki,dua merah,lima hitam,tiga merah,lima hitam,empat merah,lima merah
,17 Mei 2023,2023-5-17 14:14:14,capjiki,satu hitam,satu merah,dua hitam,lima hitam,lima merah,lima hitam
,18 Mei 2023,2023-5-18 14:14:14,capjiki,lima merah,enam merah,lima hitam,satu hitam,tiga merah,lima merah
,19 Mei 2023,2023-5-19 14:14:14,capjiki,empat merah,lima merah,lima merah,tiga hitam,satu merah,lima merah
,20 Mei 2023,2023-5-20 14:14:14,capjiki,empat merah,enam hitam,satu merah,satu hitam,lima hitam,dua merah
,21 Mei 2023,2023-5-21 14:14:14,capjiki,lima merah,dua merah,enam hitam,satu merah,tiga merah,enam hitam
,22 Mei 2023,2023-5-22 14:14:14,capjiki,empat merah,enam hitam,dua merah,empat merah,dua hitam,satu merah
,23 Mei 2023,2023-5-23 14:14:14,capjiki,enam merah,enam hitam,tiga merah,tiga hitam,empat merah,empat merah
,24 Mei 2023,2023-5-24 14:14:14,capjiki,tiga merah,satu hitam,enam merah,satu hitam,lima merah,empat hitam
,25 Mei 2023,2023-5-25 14:14:14,capjiki,empat hitam,dua merah,lima hitam,lima merah,tiga hitam,tiga hitam
,26 Mei 2023,2023-5-26 14:14:14,capjiki,lima merah,empat merah,satu hitam,dua merah,empat hitam,empat hitam
,27 Mei 2023,2023-5-27 14:14:14,capjiki,satu merah,empat hitam,dua merah,satu merah,dua hitam,dua merah
,28 Mei 2023,2023-5-28 14:14:14,capjiki,tiga merah,tiga merah,empat hitam,enam merah,satu merah,dua merah
,29 Mei 2023,2023-5-29 14:14:14,capjiki,empat hitam,tiga hitam,empat merah,empat merah,dua hitam,satu merah
,30 Mei 2023,2023-5-30 14:14:14,capjiki,empat merah,dua hitam,enam hitam,dua merah,tiga hitam,lima hitam
,31 Mei 2023,2023-5-31 14:14:14,capjiki,empat hitam,lima hitam,empat merah,satu merah,empat hitam,enam hitam
,08 Juli 2023,2023-7-8 14:14:14,capjiki,satu hitam,tiga merah,dua merah,enam hitam,satu merah,satu hitam
